trial,opt1Chosen,blueRewarded,reactionTime,chosenOptionRewarded,stableBlock,pointsWon,trueProbability,subnr,blueReward,greenReward
0,1,1,52.77283706,1,1,27,0.75,1,27,15
1,1,1,5.115856079,1,1,78,0.75,1,78,85
2,1,1,2.004800589,1,1,64,0.75,1,64,29
3,0,1,1.006774001,0,1,0,0.75,1,73,91
4,1,1,2.773868966,1,1,90,0.75,1,90,12
5,1,0,7.990726118,0,1,0,0.75,1,77,62
6,1,1,3.082646263,1,1,21,0.75,1,21,29
7,0,1,2.005009733,0,1,0,0.75,1,5,51
8,0,0,4.432614939,1,1,54,0.75,1,16,54
9,1,1,2.911915609,1,1,72,0.75,1,72,6
10,0,1,3.474386555,0,1,0,0.75,1,13,44
11,1,1,2.410514301,1,1,23,0.75,1,23,22
12,1,0,2.978280663,0,1,0,0.75,1,46,92
13,0,1,6.511164976,0,1,0,0.75,1,47,70
14,0,1,1.469784653,0,1,0,0.75,1,9,12
15,1,1,1.367016483,1,1,51,0.75,1,51,36
16,0,1,1.631280422,0,1,0,0.75,1,8,31
17,0,1,3.213005029,0,1,0,0.75,1,17,31
18,1,1,3.137333598,1,1,75,0.75,1,75,57
19,0,1,2.224326091,0,1,0,0.75,1,34,80
20,1,1,1.957264258,1,1,31,0.75,1,31,47
21,1,1,1.873670322,1,1,82,0.75,1,82,80
22,1,1,2.429784786,1,1,99,0.75,1,99,42
23,0,1,1.18894279,0,1,0,0.75,1,97,74
24,1,1,3.565057022,1,1,58,0.75,1,58,36
25,0,1,2.536167072,0,1,0,0.75,1,24,95
26,1,1,3.438028722,1,1,30,0.75,1,30,76
27,1,1,1.171286177,1,1,68,0.75,1,68,2
28,0,1,1.046102381,0,1,0,0.75,1,58,76
29,0,0,1.696316767,1,1,92,0.75,1,20,92
30,1,1,1.905140642,1,1,96,0.75,1,96,35
31,1,1,1.787359233,1,1,34,0.75,1,34,8
32,0,1,1.868301306,0,1,0,0.75,1,15,86
33,1,1,1.128285508,1,1,33,0.75,1,33,10
34,0,0,5.656022243,1,1,55,0.75,1,12,55
35,1,1,2.32929788,1,1,78,0.75,1,78,92
36,1,0,2.541147019,0,1,0,0.75,1,80,53
37,1,1,0.908282183,1,1,59,0.75,1,59,6
38,0,1,2.344252385,0,1,0,0.75,1,8,45
39,0,1,0.867176536,0,1,0,0.75,1,20,70
40,1,0,1.009833439,0,1,0,0.75,1,78,27
41,0,1,0.717820361,0,1,0,0.75,1,36,90
42,0,0,1.530777962,1,1,46,0.75,1,84,46
43,0,1,0.811671351,0,1,0,0.75,1,14,24
44,1,0,1.004262298,0,1,0,0.75,1,70,20
45,0,1,0.968237266,0,1,0,0.75,1,20,85
46,1,0,1.617634635,0,1,0,0.75,1,40,75
47,0,1,0.762492732,0,1,0,0.75,1,34,67
48,1,1,0.8074443,1,1,93,0.75,1,93,11
49,1,1,0.775284561,1,1,84,0.75,1,84,84
50,1,1,1.603050166,1,1,63,0.75,1,63,46
51,1,0,0.957953557,0,1,0,0.75,1,87,66
52,0,1,1.036456729,0,1,0,0.75,1,22,91
53,1,1,0.772357867,1,1,7,0.75,1,7,12
54,1,1,1.085416858,1,1,68,0.75,1,68,61
55,1,0,0.636867545,0,1,0,0.75,1,54,2
56,1,1,1.124153821,1,1,52,0.75,1,52,10
57,0,1,0.761984737,0,1,0,0.75,1,26,91
58,1,0,0.684708535,0,1,0,0.75,1,86,55
59,1,1,0.546826752,1,1,83,0.75,1,83,65
60,0,1,2.024411506,0,1,0,0.75,1,2,24
61,1,1,0.641185603,1,1,48,0.75,1,48,63
62,1,0,0.854560265,0,1,0,0.75,1,95,8
63,1,1,0.979515661,1,1,46,0.75,1,46,65
64,1,1,0.920405992,1,1,85,0.75,1,85,18
65,1,0,1.32840381,0,1,0,0.75,1,54,62
66,1,1,0.715140112,1,1,44,0.75,1,44,98
67,0,0,1.62518579,1,1,67,0.75,1,3,67
68,1,0,0.663214816,0,1,0,0.75,1,51,34
69,1,1,0.584141427,1,1,88,0.75,1,88,46
70,1,1,0.699583889,1,1,91,0.75,1,91,3
71,1,0,1.042601657,0,1,0,0.75,1,29,53
72,0,1,1.062799466,0,1,0,0.75,1,14,99
73,1,1,1.484469269,1,1,1,0.75,1,1,73
74,1,1,1.194019801,1,1,32,0.75,1,32,40
75,1,1,2.685474252,1,1,54,0.75,1,54,60
76,1,1,3.436264046,1,1,83,0.75,1,83,58
77,1,0,1.293249013,0,1,0,0.75,1,68,51
78,1,1,0.892222063,1,1,92,0.75,1,92,15
79,1,0,1.302159814,0,1,0,0.75,1,76,30
80,1,1,0.473700588,1,1,17,0.75,1,17,51
81,1,0,0.663428076,0,1,0,0.75,1,97,15
82,0,0,1.41564431,1,1,41,0.75,1,35,41
83,1,1,1.461104441,1,1,60,0.75,1,60,60
84,0,1,1.288136189,0,1,0,0.75,1,74,81
85,1,1,0.565915312,1,1,88,0.75,1,88,48
86,0,1,2.674717337,0,1,0,0.75,1,34,68
87,1,1,0.446772679,1,1,47,0.75,1,47,76
88,1,1,0.447856421,1,1,17,0.75,1,17,19
89,1,1,1.357051473,1,1,47,0.75,1,47,62
90,1,1,0.342599146,1,1,46,0.75,1,46,77
91,1,1,0.356150261,1,1,13,0.75,1,13,43
92,1,0,0.263645439,0,1,0,0.75,1,64,44
93,1,0,0.485925363,0,1,0,0.75,1,90,49
94,1,1,0.434715306,1,1,43,0.75,1,43,22
95,1,0,0.318159624,0,1,0,0.75,1,18,84
96,1,0,0.478780162,0,1,0,0.75,1,30,51
97,1,1,0.397289704,1,1,6,0.75,1,6,11
98,1,1,0.597483402,1,1,7,0.75,1,7,37
99,1,1,0.401927144,1,1,3,0.75,1,3,83
100,1,0,1.722398764,0,0,0,0.2,1,56,13
101,0,0,1.043216815,1,0,65,0.2,1,57,65
102,0,0,1.270602007,1,0,74,0.2,1,31,74
103,1,0,0.300316303,0,0,0,0.2,1,76,72
104,1,0,0.460143139,0,0,0,0.2,1,68,11
105,1,0,0.328394669,0,0,0,0.2,1,94,96
106,1,1,0.347892082,1,0,49,0.2,1,49,43
107,1,0,0.640066837,0,0,0,0.2,1,52,57
108,1,0,0.702311475,0,0,0,0.2,1,79,10
109,1,0,0.342425971,0,0,0,0.2,1,58,49
110,1,1,0.586482674,1,0,77,0.2,1,77,16
111,1,0,0.468328716,0,0,0,0.2,1,93,31
112,1,1,1.056075244,1,0,22,0.2,1,22,14
113,1,0,0.927312195,0,0,0,0.2,1,61,35
114,1,0,3.429835929,0,0,0,0.2,1,47,67
115,1,1,4.340298387,1,0,62,0.2,1,62,52
116,1,1,3.672333895,1,0,21,0.2,1,21,80
117,1,0,0.591024258,0,0,0,0.2,1,68,58
118,1,0,0.893664911,0,0,0,0.2,1,2,7
119,1,1,1.665527085,1,0,23,0.2,1,23,25
120,1,1,2.037768812,1,0,92,0.2,1,92,91
121,1,0,0.575692849,0,0,0,0.2,1,77,89
122,1,0,0.682775871,0,0,0,0.2,1,54,99
123,0,0,0.963762028,1,0,33,0.2,1,7,33
124,1,0,1.212538271,0,0,0,0.2,1,20,99
125,1,0,1.926755344,0,0,0,0.8,1,2,62
126,1,1,0.59276647,1,0,97,0.8,1,97,66
127,1,0,0.595804751,0,0,0,0.8,1,84,61
128,1,1,0.646553455,1,0,45,0.8,1,45,80
129,1,1,0.725908095,1,0,100,0.8,1,100,62
130,1,1,0.936882025,1,0,80,0.8,1,80,38
131,1,1,0.631044656,1,0,49,0.8,1,49,18
132,1,1,0.709275158,1,0,14,0.8,1,14,6
133,1,1,0.617011345,1,0,22,0.8,1,22,16
134,1,0,0.318460567,0,0,0,0.8,1,84,39
135,1,1,0.297201235,1,0,33,0.8,1,33,2
136,1,1,0.603297959,1,0,74,0.8,1,74,97
137,1,0,0.569120099,0,0,0,0.8,1,16,32
138,1,0,0.397379039,0,0,0,0.8,1,74,96
139,1,0,0.440254136,0,0,0,0.8,1,6,3
140,1,1,0.577292823,1,0,72,0.8,1,72,40
141,0,1,1.225396095,0,0,0,0.8,1,13,28
142,1,1,0.484608212,1,0,99,0.8,1,99,37
143,1,1,0.33883461,1,0,60,0.8,1,60,79
144,1,1,0.318607677,1,0,27,0.8,1,27,45
145,1,1,0.332854524,1,0,44,0.8,1,44,6
146,1,0,0.315835947,0,0,0,0.8,1,94,5
147,1,1,0.395973063,1,0,51,0.8,1,51,54
148,1,1,0.358526097,1,0,7,0.8,1,7,77
